id,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,location_cluster,bathroom_map,amenities_count,host_verifications_count,sentiment,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
31691319,35.6280819,0,1,1,1,0,4,8,4,4,250,3,1125,1,0,0,0,0,1,0,0,1,1,1,0,0,0.02,1,11,41,2,0,0,1.532136766,0.02656674,2.417405181,2.403469218,2.877329505,0.885514443
31704905,92.17744498,0,1,2,1,0,3,2,1,1,50,2,4,1,0,0,0,0,0,0,0,1,1,0,1,0,1.385634384,1,7,6,2,0.794546533,4.583465708,4.709807726,4.542685966,4.776509015,4.788073756,4.681907104,4.533168156
31715644,94.75493067,0,1,2,1,1,3,2,3,3,350,3,1125,1,0,0,0,0,8,0,0,1,1,0,1,0,0.18,1,10,24,2,0.77319,4.86,4.86,4.57,4.86,5,4.57,4.86
31726465,100,0,2,2,1,0,3,2,5,4,320,1,730,1,29,59,89,89,1,0,0,0,2,0,2,0,0.02,2,11,16,2,0,0,1.286171925,0.203891308,2.159177224,2.298570206,2.720584579,0.69351473
31802297,96.24923873,0,1,1,1,1,3,2,1,1,89,1,4,1,0,0,0,0,36,0,0,0,1,0,1,0,0.82,5,5,27,2,0.92186,4.97,4.94,4.89,4.97,4.97,4.97,4.86
31817062,85.88176752,0,1,1,1,1,4,3,1,2,500,15,1125,1,0,0,0,0,51,0,0,0,1,1,0,0,1.16,1,6,25,1,0.58084,4.06,4.48,4.2,4.3,4.54,4.92,4.2
31851912,95.89781242,0,1,2,1,1,3,1,2,1,30,5,14,1,0,0,0,0,1,0,0,1,1,0,1,0,0.02,2,5,9,2,0.794546533,5,5,5,5,5,5,5
31870600,100,0,1,1,1,1,4,2,1,1,42,30,300,1,0,0,0,18,72,0,0,0,1,1,0,0,1.68,6,6,26,1,0.87356,4.9,4.96,4.97,4.94,4.97,4.75,4.74
31871452,100,0,2,13,1,1,4,4,1,1,69,1,14,1,0,0,0,0,77,0,0,1,2,2,0,0,1.75,1,6,22,2,0.7664,4.72,4.84,4.74,4.95,4.75,4.45,4.62
31893665,94.7944374,0,2,2,1,1,3,2,1,1,39,1,3,1,0,0,0,0,55,0,0,0,1,0,1,0,1.25,7,7,16,2,0.79874,4.8,4.87,4.93,4.91,4.85,4.78,4.87
